maison,ats,config_json,job_count,evidence
Le Tanneur,NONE,,0,https://www.letanneur.com/ HTTP 200 Shopify storefront; footer HTML has no recrutement/carrieres link; /recrutement /carrieres /fr/recrutement all HTTP 404; sitemap_pages_1.xml contains no careers page; robots.txt 'User-agent: * / Allow: /'; WTTJ organization.slug le-tanneur/letanneur/tanneur nbHits=0; teamtailor/recruitee/ashby/greenhouse slug letanneur all 404. Old HelloWork career site www.talentdetection.com/le-tanneur-cie/56025-vdxSdhkwkf/accueil now redirects to hw-recruteur.com HTTP 404 (dead).
Lecarpentier SAS,NONE,,0,"No resolvable website: lecarpentier.fr, lecarpentier.com, lecarpentier-sas.fr all fail DNS/connect (curl exit 000). WTTJ organization.slug lecarpentier and lecarpentier-sas nbHits=0."
Lectra,WTTJ,"{""slug"":""lectra""}",22,"POST https://CSEKHVMS53-dsn.algolia.net/1/indexes/wttj_jobs_production_fr/query filters=organization.slug:\lectra\"" -> HTTP 200 nbHits=22"
Lelièvre Paris,NONE,,0,"https://lelievreparis.com/ HTTP 200; homepage HTML has no recrutement/carrieres/emploi/job link (only mailto:talent@c4manufactures.com surfaced across scan set, belonging to another site). WTTJ organization.slug lelievre-paris and lelievre nbHits=0."
Lemaire,NONE,,0,https://www.lemaire.fr/ HTTP 200 Shopify storefront; homepage HTML contains no recrutement/carrieres/career/emploi/job link; robots.txt 'User-agent: *' disallows only /admin /cart /checkout /orders /account (no jobs path); WTTJ organization.slug lemaire nbHits=0; teamtailor/recruitee/ashby/greenhouse slug lemaire all 404.
Lemarie,NONE,,0,"https://lemarie.fr/ HTTP 200 and https://www.lemarie-paris.com/ HTTP 200; only careers-related link is href=\/contact/?objet=recrutement\"" (a contact form"
Leonard Paris,NONE,,0,leonard-paris.com does not resolve (curl 000); https://leonardparis.com/fr/ HTTP 200 but homepage HTML has no recrutement/carrieres/career/emploi/job link. WTTJ organization.slug leonard-paris and leonard nbHits=0.
Les Ateliers Grandis,NONE,,0,"No resolvable website: lesateliersgrandis.com, ateliers-grandis.fr, www.grandis.fr all fail DNS/connect (curl exit 000). WTTJ organization.slug les-ateliers-grandis nbHits=0."
Les Etablissements Thierry,NONE,,0,etablissements-thierry.com and thierry-etablissements.fr fail DNS/connect (curl 000); ets-thierry.fr returns HTTP 500. WTTJ organization.slug les-etablissements-thierry nbHits=0.
Les Georgettes,NONE,,0,"https://www.lesgeorgettes.com/ HTTP 200 (altesse.com redirects here, same entity); homepage HTML has no recrutement/carrieres/emploi/job link; /fr/recrutement redirects to homepage HTTP 200; sitemap.xml contains no careers URL. WTTJ organization.slug les-georgettes and altesse-group nbHits=0; teamtailor/recruitee/ashby/greenhouse slugs lesgeorgettes and altesse all 404."
Les Mouettes Vertes,NONE,,0,lesmouettesvertes.com and mouettes-vertes.com fail DNS/connect (curl 000); https://www.lesmouettesvertes.fr/ HTTP 200 but homepage HTML has no recrutement/carrieres/career/emploi/job link. WTTJ organization.slug les-mouettes-vertes nbHits=0.
Les Productions Fonlupt,NONE,,0,"No resolvable website: fonlupt.com, fonlupt-productions.com, productions-fonlupt.fr all fail DNS/connect (curl exit 000). WTTJ organization.slug les-productions-fonlupt nbHits=0."
LG Couture,NONE,,0,lgcouture.fr and lg-couture.fr fail DNS/connect (curl 000); https://lgcouture.com/ HTTP 200 but homepage HTML has no recrutement/carrieres/career/emploi/job link. WTTJ organization.slug lg-couture nbHits=0.
LGN Louis-Gabriel Nouchi,NONE,,0,https://lgncorp.com/ HTTP 200 and https://www.louisgabrielnouchi.com/ HTTP 200; neither homepage HTML contains a recrutement/carrieres/career/emploi/job link. WTTJ organization.slug lgn-louis-gabriel-nouchi nbHits=0.
Liaigre,NONE,,0,https://liaigre.com and https://www.liaigre.com fail TLS/connect (curl 000); http://www.liaigre.com/ HTTP 200 returns a JS-rendered shell with zero href attributes in served HTML and no ATS vendor fingerprint; https://www.christian-liaigre.com/ HTTP 200 likewise exposes no careers link. WTTJ organization.slug liaigre nbHits=0.
