maison,ats,config_json,job_count,evidence
Bourjois,SuccessFactors,"{""origin"":""https://careers.coty.com""}",0,"GET https://careers.coty.com/search/?q=&startrow=0..100 -> ""117 Jobs"", 117 unique /job/ links; 0 titles contain Bourjois. robots allows /search/ and /job/."
Boyarovskaya,none,{},0,"WTTJ slug boyarovskaya nbHits=0; boyarovskaya.com (Shopify) HTTP 200, no careers link, no ATS vendor marker"
Breal,Magnet,"{""siteKey"":""9550007d348362827f2534be59208f28"",""origin"":""https://recrutement.groupe-beaumanoir.com""}",11,"POST https://api.magnet.work/v2/security/login then POST /v2/job-offers -> 200, total=408; 11 records company=""BREAL (Reseau)"""
Breguet,unresolved (WAF-BLOCKED),{},0,"www.breguet.com, www.swatchgroup.com/en/job-finder and /robots.txt all HTTP 000 (TLS-level bot shield); DNS resolves (23.204.132.248) so site exists. WAF-blocked, NOT robots-disallowed. Needs headless Chromium."
Brioni,Eightfold,"{""origin"":""https://careers.kering.com"",""domain"":""kering.com"",""brandMatch"":""title_prefix:BRIONI""}",17,GET https://careers.kering.com/api/pcsx/search?domain=kering.com&start=0&num=100 (session cookie from /careers) -> data.count=1007; paged all 1007 records; 17 titles prefixed BRIONI. robots.txt allows /api/pcsx explicitly.
Bruno Banani,SuccessFactors,"{""origin"":""https://careers.coty.com""}",1,"GET https://careers.coty.com/search/?q=&startrow=0..100 -> 117 total; 1 title matches (Darmstadt Category Growth Manager Mass Scenting (Bruno Banani, Mexx, Adidas))"
Buccellati,Workday,"{""tenant"":""richemont"",""site"":""richemont"",""origin"":""https://richemont.wd3.myworkdayjobs.com"",""brandMatch"":""logoImage.alt on job detail""}",30,"POST /wday/cxs/richemont/richemont/jobs -> total=1306; resolved logoImage.alt on all 1306 detail records -> 30 Buccellati e.g. ""Boutique Director-Aspen"""
Bulgari,Algolia-LVMH,"{""appId"":""SDMQTD2J9T"",""index"":""PRD-en-us"",""filters"":""category:job AND maison:Bulgari""}",109,POST https://SDMQTD2J9T-dsn.algolia.net/1/indexes/PRD-en-us/query filters=category:job facet maison -> Bulgari=109 (total job docs 5222)
Bumble and bumble,Eightfold,"{""origin"":""https://careers.elcompanies.com"",""domain"":""elcompanies.com"",""brandMatch"":""title:Bumble and bumble""}",3,"GET https://careers.elcompanies.com/api/pcsx/search?domain=elcompanies.com&start=0..1390&num=10 -> data.count=1400, 1400 unique records; 3 named Bumble and bumble. NOTE num=100 is silently capped at 10/page."
Burberry Beauty,SuccessFactors,"{""origin"":""https://careers.coty.com""}",0,"GET https://careers.coty.com/search/?q=&startrow=0..100 -> 117 total; 0 of 117 titles contain Burberry (q=Burberry's 19 hits are fuzzy description matches, 0 in title)"
Burc Akyol,none,{},0,"WTTJ burc-akyol nbHits=0; burcakyol.com HTTP 200, no careers link or vendor marker"
Byredo,SuccessFactors,"{""origin"":""https://jobs.puig.com""}",18,"GET https://jobs.puig.com/search/?startrow=0 -> ""Results 1 to 25 of 228""; paged 0..225, 228 unique /job/ rows, 18 match BYREDO e.g. ""Client Advisor, BYREDO (Pacific Palisades)"""
Cacharel,Avature,"{""origin"":""https://careers.loreal.com""}",0,"GET https://careers.loreal.com/en_US/jobs/SearchJobs/?listFilterMode=true&search=Cacharel -> 200, zero JobDetail links (controls: search=Lancome -> 15, search=CeraVe -> 11). Product/licence brand, no dedicated postings."
Cache Cache,Magnet,"{""siteKey"":""9550007d348362827f2534be59208f28"",""origin"":""https://recrutement.groupe-beaumanoir.com""}",60,"Same Magnet feed (total=408); 58 ""CACHE CACHE (Reseau)"" + 2 ""CACHE CACHE (Siege)"""
Calvin Klein Fragrances,SuccessFactors,"{""origin"":""https://careers.coty.com""}",0,GET https://careers.coty.com/search/?q=&startrow=0..100 -> 117 total; 0 titles contain Calvin Klein/CK
Canada Goose,Workday,"{""tenant"":""canadagoose"",""site"":""CanadaGooseCareers"",""origin"":""https://canadagoose.wd3.myworkdayjobs.com""}",104,"POST https://canadagoose.wd3.myworkdayjobs.com/wday/cxs/canadagoose/CanadaGooseCareers/jobs -> total=104, real records e.g. ""Supervisor, Cutting Room"" (Winnipeg)"
Carel Paris,none,{},0,"WTTJ carel / carel-paris nbHits=0; carel-paris.fr HTTP 200, no careers link or vendor"
Carita,Avature,"{""origin"":""https://careers.loreal.com""}",0,"GET .../SearchJobs/?listFilterMode=true&search=Carita -> 200, zero JobDetail links"
Carolina Herrera,SuccessFactors,"{""origin"":""https://jobs.puig.com""}",16,"Same 228-row paged Puig feed; 16 rows match e.g. ""Sales Associate, La Jolla - Carolina Herrera (Fashion)"""
Caroll,Magnet,"{""siteKey"":""9550007d348362827f2534be59208f28"",""origin"":""https://recrutement.groupe-beaumanoir.com""}",37,"Same Magnet feed (total=408); 34 ""CAROLL (Reseau)"" + 3 ""CAROLL (Siege)"""
