maison,ats,config_json,job_count,evidence
24S.com,LVMH jobhub (no listing route),"{""origin"":""https://www.lvmh.com"",""offerPath"":""/proxyApi/v1/jobhub/offer?reference={REF}&lang=fr""}",,"LVMH public jobhub API is live and robots-allowed: GET www.lvmh.com/proxyApi/v2/jobhub/criteria?lang=fr -> 200 and this maison IS in the 'maisons' list. robots www.lvmh.com disallows only /*espace-candidat, /*spazio-candidato, /*candidate-portal - /fr/nous-rejoindre/nos-offres is allowed. BUT no listing/search route exists (probed v1+v2: offers, offer/search, offers/search, search, offer/list, jobs, offerList -> all 404; /offer requires a known reference). The listing is client-side and www.lvmh.com kills headless Chromium with ERR_HTTP2_PROTOCOL_ERROR, so references could not be enumerated -> NO verified count."
2e Bureau,NONE,,,2e-bureau.com homepage fetched (200); no careers/recrutement link and no ATS fingerprint. No feed.
3.Paradis,NONE,,,"3paradis.com loaded 200 in Chromium; no careers link, no ATS fingerprint; 12 common careers paths (/careers,/carrieres,/recrutement,/nous-rejoindre,/jobs,...) probed in-browser -> none returned an ATS. No feed."
3CE,Avature,"{""origin"":""https://careers.loreal.com"",""path"":""/en_US/jobs/SearchJobs/""}",,"careers.loreal.com is Avature (avature.portal.* tokens in page). GET careers.loreal.com/en_US/jobs/SearchJobs/?listFilterMode=1&jobRecordsPerPage=20&jobOffset=N returns 20 JobDetail links/page; binary search -> last non-empty offset 1720 => ~1721-1740 total. robots careers.loreal.com 'Allow: /*/jobs'. NOTE: the 'keyword' param is IGNORED (verified: keyword=Aesop returned the unfiltered first page), so brand counts need facet params, not keyword. Group-level L'Oreal feed is reachable and verified (~1721 jobs) but NO working brand facet was found for this brand, so no brand-level job_count is claimed. Do not read the group total as this brand's count."
A-Derma,Workday,"{""tenant"":""pierrefabre"",""site"":""External_Career_Site"",""origin"":""https://pierrefabre.wd3.myworkdayjobs.com""}",210,pierrefabre.wd3.myworkdayjobs.com/*/External_Career_Site found on pierre-fabre.com/en/join-us; POST /wday/cxs/pierrefabre/External_Career_Site/jobs -> 200 total=210; robots 'Allow: /External_Career_Site/'. Group-level feed (A-Derma is a Pierre Fabre brand; no brand-level split exposed).
A. Lange & Söhne,Workday,"{""tenant"":""richemont"",""site"":""broadbean_external"",""origin"":""https://richemont.wd3.myworkdayjobs.com""}",3,POST richemont.wd3.myworkdayjobs.com/wday/cxs/richemont/broadbean_external/jobs -> 200 total=422. robots richemont.wd3 'Allow: /broadbean_external/' but 'Disallow: /richemont/' so the /richemont site must NOT be used. searchText filter validated (nonsense term -> 0). searchText='Lange' -> total=3
Acne Studios,Jobylon,"{""companyId"":2631,""origin"":""https://cdn.jobylon.com""}",27,"careers.acnestudios.com/open-positions/ embeds jobylon widget with jbl_company_id=2631; Playwright capture -> GET cdn.jobylon.com/jobs/companies/2631/embed/v2/. Fetched that URL -> 200, 27 distinct /jobs/{id}-acne-studios-* entries server-rendered. robots cdn.jobylon.com 'User-agent: * / Allow: /'."
Acqua Di Parma,LVMH jobhub (no listing route),"{""origin"":""https://www.lvmh.com"",""offerPath"":""/proxyApi/v1/jobhub/offer?reference={REF}&lang=fr""}",,"LVMH public jobhub API is live and robots-allowed: GET www.lvmh.com/proxyApi/v2/jobhub/criteria?lang=fr -> 200 and this maison IS in the 'maisons' list. robots www.lvmh.com disallows only /*espace-candidat, /*spazio-candidato, /*candidate-portal - /fr/nous-rejoindre/nos-offres is allowed. BUT no listing/search route exists (probed v1+v2: offers, offer/search, offers/search, search, offer/list, jobs, offerList -> all 404; /offer requires a known reference). The listing is client-side and www.lvmh.com kills headless Chromium with ERR_HTTP2_PROTOCOL_ERROR, so references could not be enumerated -> NO verified count."
AD Confection,NONE,,,www.ad-confection.fr -> ERR_NAME_NOT_RESOLVED in Chromium; domain does not resolve. No reachable site.
Adeline André,NONE,,,www.adelineandre.com -> ERR_NAME_NOT_RESOLVED. No reachable site.
Adolfo Dominguez,SuccessFactors (BLOCKED),"{""company"":""Puig""}",,careers.puig.com/opportunities points to performancemanager.successfactors.eu/sf/careers/jobsearch?bplte_company=Puig. robots performancemanager.successfactors.eu: 'User-agent: * / Disallow: / ; Disallow: /*company ; Allow: /login' -> job search DISALLOWED. Also careers.puig.com robots disallows /api/search. Not fetched.
Aelis,NONE,,,www.aelisparis.com -> ERR_NAME_NOT_RESOLVED. No reachable site.
AERIN Beauty,Eightfold,"{""origin"":""https://careers.elcompanies.com"",""domain"":""elcompanies.com""}",0,"GET careers.elcompanies.com/api/pcsx/search?domain=elcompanies.com; paged num=10 -> api count=1400, 1400 fetched; robots careers.elcompanies.com explicitly 'Allow: /api/pcsx'. brand match 'aerin'=0 (corporate feed reachable, no AERIN-labelled posting today)"
Aesop,Avature,"{""origin"":""https://careers.loreal.com"",""path"":""/en_US/jobs/SearchJobs/"",""facets"":""9139=[18076]&9139_format=3710&9141=[788242943]&9141_format=3369""}",77,aesop.com/careers.html links to careers.loreal.com SearchJobs with facet 9141=[788242943]; fetched -> all 19 titles on page 1 contain 'Aesop' (facet genuinely filters); paged to 77 distinct JobDetail links before Avature returned 403 rate-limit at offset 80. 77 = verified floor.
Agatha,NONE,,,"agatha.fr/fr_FR/nous-rejoindre fetched 200 and Playwright-captured: only iAdvize chat XHR, plus an Indeed link. Parent THOM Group: thomgroup.com/talents/job-offers/ fetched 200 - WordPress editorial page, no ATS fingerprint, no job links. No feed."
agnès b.,NONE,,,agnesb.eu and agnesb.fr both load 200 in Chromium with no careers link and no ATS fingerprint; 12 common careers paths probed in-browser on agnesb.eu -> none returned an ATS. No feed.
Aime,WTTJ,"{""slug"":""aime""}",7,"POST CSEKHVMS53-dsn.algolia.net wttj_jobs_production_fr filters=organization.slug:aime -> nbHits=7, org.name='Aime'"
Akris,NONE,,,"akris.com 200; careers link -> us.akris.com/pages/careers (Shopify page, fetched, no ATS fingerprint and no job listings). 12 careers paths probed in-browser -> no ATS. No feed."
Alaïa,Workday,"{""tenant"":""richemont"",""site"":""broadbean_external"",""origin"":""https://richemont.wd3.myworkdayjobs.com""}",10,POST richemont.wd3.myworkdayjobs.com/wday/cxs/richemont/broadbean_external/jobs -> 200 total=422. robots richemont.wd3 'Allow: /broadbean_external/' but 'Disallow: /richemont/' so the /richemont site must NOT be used. searchText filter validated (nonsense term -> 0). searchText='Alaia' -> total=10; careers.richemont.com/en/jobs/alaia links to this tenant
Alainpaul,NONE,,,alainpaul.com: 12 common careers paths probed in Chromium -> no ATS fingerprint. No feed.
Alexander Hughes,NONE,,,"alexanderhughes.com/join-us/ fetched 200 - it is a CV-submission page for an executive-search firm, no ATS fingerprint and no job list. No feed."
