maison,ats,config_json,job_count,evidence
Michel Herbelin,NONE,,,"Brand site: michelherbelin.com serves only a JS parked redirect to /lander (HTTP 200, 114 bytes); real store is herbelin.com (HTTP 200). robots.txt herbelin.com = ALLOWED (Shopify boilerplate, User-agent: * Allow: /; its prose addressed at AI shopping agents was ignored as data). Proven absence: enumerated https://herbelin.com/sitemap_pages_1.xml?from=164492869969&to=170609344849 (HTTP 200) = 24 pages, full list contains no recruitment page (contact, sav, nos-boutiques, nos-savoir-faire...). /pages/recrutement and /pages/carrieres both HTTP 404. Negative-controlled slug sweeps (control zzzznope behaved correctly): Greenhouse 404, Lever 404, Ashby 404, Recruitee 404, WTTJ api 404. Small independent watchmaker with no careers infrastructure."
Minelli,NONE,,,"robots.txt www.minelli.fr = PARTIAL/ALLOWED (Shopify; disallows only /admin,/cart,/checkout,/account,/collections/*sort_by* - nothing career-related). Proven absence: enumerated https://minelli.fr/sitemap_pages_1.xml?from=132132307230&to=696677499253 (HTTP 200) = 49 pages, complete list has no recruitment/careers page (contact, contactez-nous, nos-boutiques, faq, cgv...). /pages/recrutement and /pages/carrieres both HTTP 404. Negative-controlled sweeps: Greenhouse/Lever/Ashby/Recruitee/WTTJ all 404 while control zzzznope also 404."
Miss Sporty,SuccessFactors,"{""origin"":""https://careers.coty.com"",""listingUrl"":""https://careers.coty.com/search/?q=&startrow={N}"",""brandMatch"":""job slug""}",0,"VERIFIED ZERO (feed works, no Miss Sporty job today). careers.coty.com robots.txt Disallows only /applybutton/ /talentcommunity/ /services/ etc - /search/ and /job/ ALLOWED. GET https://careers.coty.com/search/?q=&startrow=0,50,100 -> page text ""Showing 1 to 50 of 116 Jobs""; harvested 116 unique /job/<slug>/<id>/. 0 match /sporty/i. Negative control /zzzznope/ -> 0. Cross-checks on the same harvest: Rimmel=1, Max Factor=1, Marc Jacobs=1."
Miu Miu,PARENT_PORTAL,"{""vendor"": ""SAP SuccessFactors RMK (self-hosted career site)"", ""parent"": ""Prada Group"", ""board_url"": ""https://jobs.pradagroup.com/"", ""search_url"": ""https://jobs.pradagroup.com/search/"", ""pagination"": {""param"": ""startrow"", ""page_size"": 6, ""end_behavior"": ""clamps back to page 1""}, ""brand_facet"": false, ""brand_identified_by"": ""job title prefix 'MIU MIU'/'Miu Miu'""}",34,"Path: pradagroup.com robots ALLOWED -> /en/sitemap.xml (HTTP 200, 1298 locs) -> /en/talents/job-opportunities.html (HTTP 200) -> links to https://jobs.pradagroup.com/?locale=en_US. robots.txt jobs.pradagroup.com = PARTIAL: disallows /applybutton/,/talentcommunity/,/services/,/preapply/,/reset/ etc but NOT /search/ or /job/ - used only permitted paths. Vendor = SuccessFactors (54 'successfactor' refs in page source). COUNTING METHOD: paginated /search/?q=&startrow=N in steps of 6, collecting unique /job/<slug>/<id>/ ids, stopping when a page's id-set repeated page 1. Ended at startrow=198 => 195 unique group-wide job ids. Of these, 34 carry MIU MIU in the title (PRADA 74, Church 4, Marchesi 3). BRAND FACET DOES NOT WORK: optionsFacetsDD_customfield1, optionsFacetsDD_facility and brand params all return the identical 6 rows for value 'MIU MIU' and for 'ZZZZNOPE'; free-text q=zzzznope also returned 6 results, so search/facet filtering is fuzzy and its counts are worthless. Count 34 is therefore from title matching over the full verified 195-job inventory, not from a facet. Group-wide total = 195."
Miu Miu Beauty,Avature,"{""vendor"":""avature"",""origin"":""https://careers.loreal.com"",""sitemap"":""https://careers.loreal.com/en_US/jobs/sitemap.xml"",""searchUrl"":""https://careers.loreal.com/en_US/jobs/SearchJobs/?search={TERM}&jobOffset={N}"",""brandMatch"":""job-title slug + keyword search union""}",1,"careers.loreal.com robots.txt ALLOWS /jobs and /content (only *?qtvc= is Disallowed) -> ALLOWED. Avature portal (career.loreal.com/careers 302 -> careers.loreal.com). ENUMERATION: GET https://careers.loreal.com/en_US/jobs/sitemap.xml -> 1816 <loc>, of which 1737 /JobDetail/ URLs with 1737 DISTINCT trailing numeric ids (the LVMH-style per-language duplication does not arise: only the en_US sitemap was used). CORRECTION TO THE BRIEF: Avature pagination is NOT ignored here - ?search=NYX&jobOffset=0 returned 11 ids, jobOffset=10 returned the 1 remaining id, jobOffset=20 returned 0. It paginates correctly. The portal DOES expose a Brand facet (field 9141, an ajax AutocompleteMultipleSelectField) but it is UNUSABLE: its options load only via an ajax call, the URL forms are ignored, and job pages carry Brand: ""N/A"" in their analytics payload - i.e. jobs are largely not brand-tagged. The keyword search is also unreliable: it MISSES jobs it should match (search=Mugler -> 0 while job 245985, still HTTP 200, mentions Mugler 26 times) and narrows further with multi-word terms. So the count is the UNION of (a) brand tokens in the 1737 sitemap job-title slugs and (b) the paginated keyword search, deduped on the numeric job id. Negative control search=zzzznope -> 0 ids. COUNT: sitemap 1 (job 246254 ""Head of Marketing Prada & Miu Miu Luxe Division 12 Month FTC""), keyword search 0 -> union 1. This single posting covers Prada AND Miu Miu jointly."
Mixa,Avature,"{""vendor"":""avature"",""origin"":""https://careers.loreal.com"",""sitemap"":""https://careers.loreal.com/en_US/jobs/sitemap.xml"",""searchUrl"":""https://careers.loreal.com/en_US/jobs/SearchJobs/?search={TERM}&jobOffset={N}"",""brandMatch"":""job-title slug + keyword search union""}",0,"careers.loreal.com robots.txt ALLOWS /jobs and /content (only *?qtvc= is Disallowed) -> ALLOWED. Avature portal (career.loreal.com/careers 302 -> careers.loreal.com). ENUMERATION: GET https://careers.loreal.com/en_US/jobs/sitemap.xml -> 1816 <loc>, of which 1737 /JobDetail/ URLs with 1737 DISTINCT trailing numeric ids (the LVMH-style per-language duplication does not arise: only the en_US sitemap was used). CORRECTION TO THE BRIEF: Avature pagination is NOT ignored here - ?search=NYX&jobOffset=0 returned 11 ids, jobOffset=10 returned the 1 remaining id, jobOffset=20 returned 0. It paginates correctly. The portal DOES expose a Brand facet (field 9141, an ajax AutocompleteMultipleSelectField) but it is UNUSABLE: its options load only via an ajax call, the URL forms are ignored, and job pages carry Brand: ""N/A"" in their analytics payload - i.e. jobs are largely not brand-tagged. The keyword search is also unreliable: it MISSES jobs it should match (search=Mugler -> 0 while job 245985, still HTTP 200, mentions Mugler 26 times) and narrows further with multi-word terms. So the count is the UNION of (a) brand tokens in the 1737 sitemap job-title slugs and (b) the paginated keyword search, deduped on the numeric job id. Negative control search=zzzznope -> 0 ids. COUNT: sitemap 0, keyword search 0 -> union 0. VERIFIED ZERO: the feed works (1737 jobs enumerated) but no posting names Mixa."
Mizani,Avature,"{""vendor"":""avature"",""origin"":""https://careers.loreal.com"",""sitemap"":""https://careers.loreal.com/en_US/jobs/sitemap.xml"",""searchUrl"":""https://careers.loreal.com/en_US/jobs/SearchJobs/?search={TERM}&jobOffset={N}"",""brandMatch"":""job-title slug + keyword search union""}",0,"careers.loreal.com robots.txt ALLOWS /jobs and /content (only *?qtvc= is Disallowed) -> ALLOWED. Avature portal (career.loreal.com/careers 302 -> careers.loreal.com). ENUMERATION: GET https://careers.loreal.com/en_US/jobs/sitemap.xml -> 1816 <loc>, of which 1737 /JobDetail/ URLs with 1737 DISTINCT trailing numeric ids (the LVMH-style per-language duplication does not arise: only the en_US sitemap was used). CORRECTION TO THE BRIEF: Avature pagination is NOT ignored here - ?search=NYX&jobOffset=0 returned 11 ids, jobOffset=10 returned the 1 remaining id, jobOffset=20 returned 0. It paginates correctly. The portal DOES expose a Brand facet (field 9141, an ajax AutocompleteMultipleSelectField) but it is UNUSABLE: its options load only via an ajax call, the URL forms are ignored, and job pages carry Brand: ""N/A"" in their analytics payload - i.e. jobs are largely not brand-tagged. The keyword search is also unreliable: it MISSES jobs it should match (search=Mugler -> 0 while job 245985, still HTTP 200, mentions Mugler 26 times) and narrows further with multi-word terms. So the count is the UNION of (a) brand tokens in the 1737 sitemap job-title slugs and (b) the paginated keyword search, deduped on the numeric job id. Negative control search=zzzznope -> 0 ids. COUNT: sitemap 0, keyword search 0 -> union 0. VERIFIED ZERO."
Modem Online,NONE,,,"robots.txt www.modemonline.com = ALLOWED (User-agent: * / Disallow: <empty>). Note apex modemonline.com gave curl exit 000 on https (DNS resolves to 146.59.211.202; www host is the working one) - that is a connection failure, not a 403. Proven absence of own careers infrastructure: /jobs, /job, /career, /careers all HTTP 404; no sitemap.xml (HTTP 404). Site is a B2B fashion-trade directory; /fashion/fashion-services contains a 'human-resources' category but that lists HR/recruitment AGENCIES as directory vendors - it is not Modem's own job board or careers page. Homepage link inventory has no careers/jobs link. WTTJ slug modem-online 404 (control zzzznope 404)."
Molinard,NONE,,,"robots.txt www.molinard.com = ALLOWED (Shopify; User-agent: * Allow: /). The robots.txt contains prose directing AI agents to a shopping skill/UCP endpoint - IGNORED as data, flagged here. Proven absence: enumerated https://molinard.com/sitemap_pages_1.xml?from=111104164150&to=711890895183 (HTTP 200) = 40 pages, complete list has no recruitment page (ateliers, nos-boutiques, nos-valeurs-rse, contact, cgv...). /pages/recrutement, /pages/carrieres, /pages/nous-rejoindre all HTTP 404. Negative-controlled sweeps: Greenhouse/Lever/Ashby/Recruitee/WTTJ 404 with control zzzznope also 404. Workable returned HTTP 404 for molinard (control zzzznope was rate-limited 429, see report caveat)."
Moncler Parfums,BLOCKED_ROBOTS,,,"Parent Interparfums SA. https://www.interparfums.fr/robots.txt contains an explicit block for my own crawler identity: ""User-agent: ClaudeBot"" followed by ""Disallow: /"" (the same file also Disallows Amazonbot, Applebot-Extended, Bytespider, CCBot, CloudflareBrowserRenderingCrawler, Google-Extended, GPTBot, meta-externalagent). NOT FETCHED beyond robots.txt - no workaround, no browser, no UA change. FLAG: this robots.txt also carries a Cloudflare content-signals PROSE PREAMBLE addressed to automated agents (""As a condition of accessing this website, you agree to abide by the following content signals... Content-Signal: search=yes,ai-train=no,use=reference""); treated as DATA, and the machine-readable Disallow is what is being honoured. Both brands are licensed fragrance lines of Interparfums SA with no separate employer entity."
