maison,ats,config_json,job_count,evidence
DPL Hervier,NONE,,0,"dpl-hervier.fr, dpl-hervier.com, hervier-productions.fr and www.hervierproductions.fr do not resolve (curl 000). Real domain found via websearch + company contact contact@hervierproductions.fr: GET https://hervierproductions.fr/ -> 200, 12301 bytes, <title>Hervier Productions</title>. robots.txt -> 404 (nothing disallowed). The site is a single-page TemplateMonster brochure with only 4 nav entries -- Accueil / Presentation / Services / Contacts -- and no careers, recrutement, emploi or job section anywhere in the HTML, and no ATS script or iframe. Probed dpl-hervier and hervier-productions on WTTJ algolia -> 200 nbHits=0. No public job feed exists; the firm recruits via phone/email and LinkedIn."
Dr. Barbara Sturm,BLOCKED_ROBOTS,,0,"Parent portal Puig. GET https://careers.puig.com/opportunities -> 200 exposing https://career2.successfactors.eu/careers?career_ns=job_application&company=Puig and https://performancemanager.successfactors.eu/sf/careers/jobsearch?bplte_company=Puig => vendor is SAP SuccessFactors, company=Puig. BUT robots.txt of BOTH SF hosts reads exactly 'User-agent: *' / 'Disallow: /' / 'Disallow: /*company' / 'Allow: /login' -> the job search path is Disallowed and was not crawled. careers.puig.com's own robots.txt also has 'Disallow: /api/search' (its only brand-filtering API). www.puig.com returns 403 Cloudflare. job_count not obtainable without violating robots."
Dr.G,Avature,"{""origin"":""https://careers.loreal.com""}",1737,"Parent portal L'Oreal = AVATURE (page JS exposes avature.portal.id / avature.portal.urlPath / avature.portallist.search on https://careers.loreal.com/en_US/jobs/SearchJobs -> 200). robots.txt careers.loreal.com: 'User-agent: *' then 'Allow: /careers' + Sitemap lines; jobs not disallowed. Live pagination verified: /en_US/jobs/SearchJobs/?jobOffset=0 -> 20 JobDetail links, jobOffset=1734 -> 3, jobOffset=1750 -> 0, i.e. ~1737 live postings. Cross-checked against the robots-advertised sitemap GET https://careers.loreal.com/en_US/jobs/sitemap.xml -> 200 containing exactly 1737 /JobDetail/{slug}/{id} URLs (fr_FR sitemap gives the same 1737). Sample /JobDetail/Nordic-Data-Analytics-Manager/208631 -> 200 with ""title"":""(2026) - LOA - Nordics - Nordic Data & Analytics Manager"". Also GET /en_US/jobs/SearchJobsAJAXJSON?s=1 -> 200 real job JSON (typeahead only - its 'from' param is ignored, so it is not the paginated feed). CAVEAT: there is no working brand filter (?keyword=<brand> returns unrelated results), so the adapter target is the whole L'Oreal group feed; 1737 is group-wide, not brand-specific."
Dr Irena Eris,eRecruiter,"{""origin"":""https://kariera.drirenaeris.com"",""apply_base"":""https://system.erecruiter.pl/FormTemplates/RecruitmentForm.aspx?WebID=""}",17,"drirenaeris.pl 301-redirects to www.drirenaeris.com (WordPress); its homepage links http://kariera.drirenaeris.com/. robots at https://kariera.drirenaeris.com/robots.txt -> 200, 'User-agent: *' with only Disallow: /*fbclid= , /*utm_ , /*gclid= (job paths allowed). GET https://kariera.drirenaeris.com/dr-irena-eris/aktualne-oferty-pracy -> 200, 3 offers (e.g. 'Laborant w Dziale Kontroli Jakosci', 'Specjalista ds. Utrzymania Ruchu', 'Pracownik produkcji'); GET https://kariera.drirenaeris.com/hotele-spa/aktualne-oferty -> 200, 13 offers (Kelner, Kucharz, Recepcjonistka, ...); GET https://kariera.drirenaeris.com/kosmetyczne-instytuty/aktualne-oferty -> 200, 1 offer (Kosmetolog, Warszawa). Total 17 titles in .content-accordions-item__title, each Apply button pointing to https://system.erecruiter.pl/FormTemplates/RecruitmentForm.aspx?WebID=<hex> (19 unique WebIDs incl. 2 speculative-CV forms). Careers site is server-rendered HTML; no public JSON feed found."
Dr. Jart+,Eightfold,"{""origin"":""https://careers.elcompanies.com"",""domain"":""elcompanies.com""}",1400,"Estee Lauder brand. GET https://careers.elcompanies.com/api/pcsx/search?domain=elcompanies.com&start=0&num=1 -> 200, data.count=1400 real positions. Brand check ...&query=Jart -> 200, count=7 (e.g. ""Skincare Consultant Clinique & Dr Jart- Sephora Carnaby Street""). robots https://careers.elcompanies.com/robots.txt ""User-agent: *"" then ""Allow: /api/pcsx"". PARENT PORTAL: Estee Lauder Companies Eightfold."
Dr Pierre Ricaud,SuccessFactors,"{""origin"":""https://careers.groupe-rocher.com""}",66,"Groupe Rocher brand (ricaud.com linked from groupe-rocher.com). POST https://groupe-rocher.com/en/job-offers (Drupal custom_offres_form) -> 302 then 200 at https://careers.groupe-rocher.com/search/... GET https://careers.groupe-rocher.com/search/?startrow=0 -> 200, server-rendered /job/{City-Title}/{id}/ links, result text ""of 66"". robots https://careers.groupe-rocher.com/robots.txt ""User-agent: *"" then only /applybutton/ /talentcommunity/ /services/ etc disallowed; /search/ and /job/ allowed. PARENT PORTAL: Groupe Rocher SuccessFactors."
Dr. Vranjes Firenze,SuccessFactors,"{""origin"":""https://careers-group.loccitane.com""}",4,"Parent portal L'OCCITANE Group SuccessFactors (same host/robots as Erborian above; /search/ allowed). GET https://careers-group.loccitane.com/search/?q=Vranjes -> 200, pagination label 'Results 1 - 4 of 4'. Filter is real: control ?q=zzzznope -> 200 with no results label. The L'OCCITANE careers SPA bundle also links https://www.linkedin.com/company/dr.-vranjes-firenze/jobs/ for this brand, and joinus.loccitane.com has routes only for /elemis /erborian /loccitane - so the group SF portal is the feed."
Dries Van Noten,BLOCKED_ROBOTS,,0,"Parent portal Puig - identical situation to Dr. Barbara Sturm: careers.puig.com/opportunities -> 200 pointing to SAP SuccessFactors company=Puig, but both career2.successfactors.eu and performancemanager.successfactors.eu serve robots 'User-agent: *' / 'Disallow: /', and careers.puig.com disallows /api/search. Not crawled."
Drunk Elephant,SuccessFactors,"{""origin"":""https://careers.shiseido.com""}",135,"Shiseido brand. GET https://corp.shiseido.com/en/careers/ -> 200 links careers.shiseido.com. GET https://careers.shiseido.com/search/?startrow=0 -> 200, paginationLabel ""Results 1 - 50 of 135"", server-rendered /job/ links. GET .../search/?q=Drunk+Elephant -> 200, ""of 60"". robots https://careers.shiseido.com/robots.txt ""User-agent: *"" then only /applybutton/ /talentcommunity/ /services/ etc disallowed; /search/ and /job/ allowed. PARENT PORTAL: Shiseido group SuccessFactors."
dsm-firmenich,Eightfold,"{""origin"":""https://jobs.dsm-firmenich.com"",""domain"":""dsm.com""}",389,"GET https://www.dsm-firmenich.com/en/careers.html -> 200 (redirects careers.dsm-firmenich.com) links jobs.dsm-firmenich.com/careers. GET https://jobs.dsm-firmenich.com/api/pcsx/search?domain=dsm.com&start=0&num=1 -> 200, data.count=389 real positions. Note /api/apply/v2/jobs -> 403 {""message"":""Not authorized for PCSX""}; pcsx is the working route. robots https://jobs.dsm-firmenich.com/robots.txt ""User-agent: *"" then ""Allow: /careers"" and ""Allow: /api/pcsx""."
Ducray,Workday,"{""tenant"":""pierrefabre"",""site"":""External_Career_Site"",""origin"":""https://pierrefabre.wd3.myworkdayjobs.com""}",210,"Pierre Fabre brand. GET https://www.pierre-fabre.com/fr/rejoignez-nous -> 200, links to pierrefabre.wd3.myworkdayjobs.com/fr-FR/External_Career_Site. POST https://pierrefabre.wd3.myworkdayjobs.com/wday/cxs/pierrefabre/External_Career_Site/jobs -> 200, {""total"":210} real jobPostings. robots https://pierrefabre.wd3.myworkdayjobs.com/robots.txt ""User-agent: *"" / ""Allow: /External_Career_Site/"". PARENT PORTAL: brand has no own ATS, jobs live on Pierre Fabre group Workday. Brand probe searchText=""Ducray"" -> 200 (loose match, group feed is the adapter target)."
Dunhill,RichemontCareers,"{""origin"":""https://careers.richemont.com"",""search"":""dunhill""}",16,"robots.txt https://careers.richemont.com/robots.txt -> 200: 'User-agent: *' / 'Allow: /' (the /en/jobs/ Disallow lines are scoped to named bots such as PageFreezer/GPTBot/CCBot, not to *). NOTE a first request returned a transient Cloudflare 403; a retry succeeded. GET https://careers.richemont.com/en/jobs/?search=dunhill -> 200 with 16 unique /en/jobs/jr{id} routes. Search param proven real by controls: ?search=zzzznope -> 0 routes, ?search=cartier -> 20. The group Workday feed (POST https://richemont.wd3.myworkdayjobs.com/wday/cxs/richemont/broadbean_external/jobs -> 200 total=422, robots 'Allow: /broadbean_external/' while 'Disallow: /richemont/') carries no maison facet and returns 0 for dunhill."
Eau Thermale Avene,Workday,"{""tenant"":""pierrefabre"",""site"":""External_Career_Site"",""origin"":""https://pierrefabre.wd3.myworkdayjobs.com""}",210,"Pierre Fabre brand. GET https://www.pierre-fabre.com/fr/rejoignez-nous -> 200, links to pierrefabre.wd3.myworkdayjobs.com/fr-FR/External_Career_Site. POST https://pierrefabre.wd3.myworkdayjobs.com/wday/cxs/pierrefabre/External_Career_Site/jobs -> 200, {""total"":210} real jobPostings. robots https://pierrefabre.wd3.myworkdayjobs.com/robots.txt ""User-agent: *"" / ""Allow: /External_Career_Site/"". PARENT PORTAL: brand has no own ATS, jobs live on Pierre Fabre group Workday. Brand probe searchText=""Aven"" -> 200 (loose match, group feed is the adapter target)."
Editions de Parfums Frédéric Malle,Eightfold,"{""origin"":""https://careers.elcompanies.com"",""domain"":""elcompanies.com""}",1400,"Estee Lauder brand. GET https://careers.elcompanies.com/api/pcsx/search?domain=elcompanies.com&start=0&num=1 -> 200, data.count=1400. Brand check ...&query=Frederic%20Malle -> 200, count=5 (e.g. ""Key Holder -Editions de Parfums Frederic Malle- Part-time - Greenwich Ave - New York, NY""). robots https://careers.elcompanies.com/robots.txt ""User-agent: *"" then ""Allow: /api/pcsx"". PARENT PORTAL: Estee Lauder Companies Eightfold."
