maison,ats,config_json,job_count,evidence
Gucci Beauty,SuccessFactors,"{""origin"": ""https://careers.coty.com""}",117,"GET https://careers.coty.com/search/?startrow=0 -> 200, 50 /job/{City-Title}/{id}/ links on page, 'of 117' total; robots allows /search (Disallow only /applybutton/,/talentcommunity/,...)"
Guerlain,LVMH-jobhub,"{""origin"": ""https://www.lvmh.com"", ""offerApi"": ""/proxyApi/v1/jobhub/offer?reference={REF}&lang=fr""}",,"criteria?lang=fr -> 200, 76 maisons incl. this one; offer?reference=REPO00097 -> 200 (jobTitle/maison/city/contract). NO enumerable listing: offers/search/offer-list routes all 404, listing is client-side Algolia and page dies ERR_HTTP2_PROTOCOL_ERROR / timeout under Playwright; sitemap has no per-offer URLs. job_count NOT verifiable"
Guinot,NONE,,,
Guy Laroche,NONE,,,
Haspolo,NONE,,,
Hays France,NONE,,,
Helena Rubinstein,WTTJ,"{""slug"": ""l-oreal""}",66,"Covered by the verified L'Oreal group feed: POST algolia filters=organization.slug:l-oreal -> nbHits=66 (org=""L'Oréal Groupe""). Brand-level roles present but NOT a facet (keyword nbHits within the org: Lancome=3, Kerastase=2, La Roche-Posay=1, IT Cosmetics=3, L'Oreal Paris=29, Kiehl's=0, Helena Rubinstein=0, Jacquemus=0). careers.loreal.com is Avature and caps at 'Showing 1-20 of 999+ results' with no brand facet and Cloudflare challenge, so no exact per-brand count is verifiable"
Henrik Vibskov,NONE,,,
Herend,NONE,,,
Hermès,WTTJ,"{""slug"": ""hermes""}",586,POST algolia wttj_jobs_production_fr filters=organization.slug:hermes -> nbHits=586; hits org='Hermès' (Inventory Control Specialist Ventura; Fondeur Magny-le-Hongre)
Hublot,LVMH-jobhub,"{""origin"": ""https://www.lvmh.com"", ""offerApi"": ""/proxyApi/v1/jobhub/offer?reference={REF}&lang=fr""}",,"criteria?lang=fr -> 200, 76 maisons incl. this one; offer?reference=REPO00097 -> 200 (jobTitle/maison/city/contract). NO enumerable listing: offers/search/offer-list routes all 404, listing is client-side Algolia and page dies ERR_HTTP2_PROTOCOL_ERROR / timeout under Playwright; sitemap has no per-offer URLs. job_count NOT verifiable"
