nom	site	cause	detail
massi milano	https://massimilano.at/	tls-error	ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR
locally grown clothing co.	https://locallygrownclothing.com/	dns-dead	no A/AAAA @1.1.1.1
mees	https://meesdesign.nl/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
maicazz	https://www.maicazz.nl/	tls-error	ERR_SSL_TLSV1_UNRECOGNIZED_NAME
living kitzbühel	https://www.livingkitzbuehelshop.de/	net-error	ECONNREFUSED
libertydoll	https://sfw-official.jp/	dns-dead	no A/AAAA @1.1.1.1
lecomte	https://www.lecomtefashion.de/	tls-error	ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR
joslin	https://joslinstudio.com/	http-dead	402
lorenzoni	https://www.lorenzoni.cloud/	net-error	ECONNREFUSED
miaydi	https://miaydi.com/	http-dead	402
just cool by awdis	https://justcoolbyawdis.com/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
mp massimo piombo	https://www.mpmassimopiombo.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
miles culture	https://www.milesculture.com/	http-dead	402
manuela henriques	https://www.manuelahenriques.com.br/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
maison aida	https://aidaoze.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
martha medeiros	http://www.marthamedeiroslabel.com/	http-dead	404
macson	https://www.macson.es/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
me%	https://www.dot-st.com/lowrysfarm/?dispNo=001044%3Futm_source%3DGoodOnYou+App	server-error	500
maxfaber	https://www.maxfaber.de/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
mandee	https://www.mandee.com/	tls-error	ERR_SSL_SSL/TLS_ALERT_HANDSHAKE_FAILURE
lolo carolo	https://lolocarolo.com/	server-error	520
mami.x	https://mamix.nl/	tls-error	DEPTH_ZERO_SELF_SIGNED_CERT
karko	https://www.2karko.com/	http-dead	404
newline	https://www.newlinesport.com/	net-error	redirect count exceeded
lemondose	https://www.lemondose.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
loding	https://www.loding.fr/en/	http-dead	404
meinekette	https://www.meinekette.com/	tls-error	CERT_HAS_EXPIRED
lily & lionel	https://www.lilyandlionel.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
momsrack	https://momsrack.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
niki heat	https://www.nikiheat.com/	tls-error	CERT_HAS_EXPIRED
masapera	https://masapera.com/	tls-error	CERT_HAS_EXPIRED
ngm	http://www.ngm-mobile.com/	server-error	526
minitmute	https://jp.minitmute.com/category/home/117/	http-dead	404
kipling	https://www.kipling.com/	server-error	500
lib joie	https://libjoie.com/	http-dead	404
maison breeze	https://www.maisonbreeze.com/	http-dead	404
krojay	https://krojay.com/	tls-error	CERT_HAS_EXPIRED
longevity london	https://longevity-london.com/	tls-error	CERT_HAS_EXPIRED
mally	https://mally.com/	http-dead	418
montado	https://www.montado.pt/en/home	http-dead	404
nost	https://nostshoes.se/	server-error	500
naf naf	https://www.nafnaf.es/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
marina volpe	https://marinavolpe.com/	dns-dead	no A/AAAA @1.1.1.1
louelle	https://www.louelle.co/	http-dead	404
korkoshi	https://www.korkoshi.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
maison amiir	https://maisonamiir.com/	http-dead	402
massimo romolini	https://www.massimoromolini.com/	http-dead	404
nyata	https://nyata.com.au/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
lucki store	https://shop.sincerelylucki.com/	http-dead	404
liberitae	https://liberitae.com/en/	http-dead	404
mctrek	https://mctrek.de/	tls-error	CERT_HAS_EXPIRED
montiek	http://www.montiek.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
laloras	https://laloras.com/	http-dead	404
oak rock designs	https://www.oakrockdesigns.com/	http-dead	402
olgana paris	https://olganaparis.com/	net-error	ECONNRESET
masha apparel	https://www.mashaapparel.com/	http-dead	402
marcell von berlin	https://marcellvonberlin.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
moheda toffeln	https://www.mohedatoffeln.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
marcelo burlon county of milan	https://www.marceloburlon.eu/	dns-dead	no A/AAAA @1.1.1.1
mimi a la mode hollywood	https://mimi-a-la-mode-2.myshopify.com/	http-dead	402
magic in mohmaya	https://magicinmohmaya.com/	http-dead	409
lourdes new york	https://lourdes.nyc/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
monica hansen beachwear	https://monicahansenbeachwear.com/	tls-error	CERT_HAS_EXPIRED
morrocco method int'l	https://www.morroccomethod.com/	net-error	redirect count exceeded
kintetsu department store	https://www.d-kintetsu.co.jp/	dns-dead	no A/AAAA @1.1.1.1
mister jackson	https://misterjacksonshoes.com/	tls-error	CERT_HAS_EXPIRED
mennace	https://www.mennace.com/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
maurice lacroix	http://www.mauricelacroix.com/	net-error	redirect count exceeded
paparesta accessories	https://www.paparestadesign.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
mym	https://mymitalia.it/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
lotta from stockholm	https://www.lottafromstockholm.co.uk/	server-error	526
naughty cat apparel	https://naughtycatapparel.com/	tls-error	CERT_HAS_EXPIRED
north - menswear	https://www.northmenswear.com/	http-dead	421
matcha paris	https://en.matchaparis.com/	http-dead	404
mila beach	https://www.mila-beach.com/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
mermaid&wild	https://mermaidandwild.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
nin & laur	https://www.ninlaur.com/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
natics	https://naticscare.com/	http-dead	402
mecre	https://mecre.jp/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
masha popova	https://mashapopova.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
paule ka	https://pauleka.com/eu/	http-dead	404
luna bel clothing	https://www.lunabelclothing.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
nagano	https://www.ospig.com/nagano	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
melt the lady	https://www.meltthelady.jp/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
miumax gifts	https://www.miumax.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
nick ricardo collection	https://www.nickricardocollection.com/	http-dead	404
no 8 galway	https://no8.ie/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
ningbo shanshan co. ltd.	http://www.ssgf.net/	dns-dead	no A/AAAA @1.1.1.1
mondaystyle	https://monday-style.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
meitetsu department store head store	https://www.e-meitetsu.com/mds/	http-dead	404
moda marieclaire	https://www.modamarieclaire.com/	server-error	500
nocturne	https://shopnocturne.com/	tls-error	CERT_HAS_EXPIRED
noda	https://www.noda4you.com/	tls-error	UNABLE_TO_GET_ISSUER_CERT_LOCALLY
nonnative	https://nonnative.com/	dns-dead	no A/AAAA @1.1.1.1
natalija	https://www.natalijathelabel.com.au/	dns-dead	no A/AAAA @1.1.1.1
marhen.j	https://en.marhenj.com/	tls-error	ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR
nordblanc	https://www.nordblanc-obchod.cz/en/	tls-error	DEPTH_ZERO_SELF_SIGNED_CERT
nordbrandt	https://nordbrandtshoes.se/	server-error	500
notafictionalmum	https://shopnotafictionalmum.com/	tls-error	ERR_SSL_SSL/TLS_ALERT_HANDSHAKE_FAILURE
miss chase a+	https://chasehaul.com/collections/miss-chase-aplus	http-dead	404
norba	https://norba.clothing/en/	http-dead	404
m_	https://www.moussy.ne.jp/m_/	http-dead	404
michalsky	http://www.michalsky.com/	http-dead	404
mp denmark	http://mpdenmark.espresso4.dk/	net-error	UND_ERR_CONNECT_TIMEOUT
otazu	https://rodrigootazu.com/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
monnalisa	https://www.monnalisa.eu/	net-error	UND_ERR_CONNECT_TIMEOUT
june79	https://june79nyc.com/	net-error	ECONNRESET
louloudi skincare	https://louloudiskincare.com/	http-dead	404
minimum fashion	https://minimumfashion.nl/collections/minimum-sale?page=10%3Futm_source%3DGoodOnYou+App	http-dead	404
muya	https://muya.shop/	tls-error	CERT_HAS_EXPIRED
metalgienchi	https://metalgienchi.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
liilu	https://www.liilu.de/	http-dead	402
momi skincare	http://www.momiskin.com/	http-dead	404
mystic select	http://www.mysticselect.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
nitro	https://gear.nitro.com/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
kaporal	https://www.kaporal.com/	net-error	ECONNREFUSED
lucky clown	https://luckyclownco.com/	tls-error	CERT_HAS_EXPIRED
ordinary truffle	https://www.ordinarytruffle.de/	tls-error	ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR
lititz watch technicum	http://www.lititzwatchtechnicum.org/	http-dead	404
relace	https://www.relace.nl/	tls-error	CERT_HAS_EXPIRED
m.rena	https://www.shopmrena.com/	http-dead	402
noproblem	https://noproblemfashion.com/	net-error	ENETUNREACH
outland	https://www.outland-wear.fr/	net-error	ECONNREFUSED
orslow	http://orslow.jp/	dns-dead	no A/AAAA @1.1.1.1
nioulargo	https://nioulargo.com/	net-error	ECONNREFUSED
ocean born	http://oceanbornlifestyle.com/	http-dead	409
mymo	https://mymoshop.de/	http-dead	404
organic daisy	https://organicdaisy.ca/	http-dead	404
norden	https://www.nordenproject.com/	tls-error	ERR_SSL_SSL/TLS_ALERT_HANDSHAKE_FAILURE
nina rein	https://ninarein.com/	http-dead	409
maria maleta	https://www.mariamaleta.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
mk exclusive	http://www.mkexclusive.co.uk/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
noe(no one else)	https://nooneelse.co.kr/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
marlot paris	https://www.marlot-paris.com/fr/	dns-dead	no A/AAAA @1.1.1.1
pretty one	https://prettyone.pl/	tls-error	DEPTH_ZERO_SELF_SIGNED_CERT
nood	https://shopnood.com/	http-dead	402
lulipa london	https://www.lulipashoes.co.uk/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
naturallyg4u (good for you)	https://naturallyg4u.com/	net-error	UNABLE_TO_VERIFY_LEAF_SIGNATURE
mugambo fashion	https://www.mugambofashion.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
morphe 2	https://www.morphe.com/collections/morphe-2	http-dead	404
mykke hofmann	https://www.mykkehofmann.com/	tls-error	CERT_HAS_EXPIRED
re:designed	https://www.redesigned.nu/	net-error	UND_ERR_CONNECT_TIMEOUT
omega fashion	https://omegafashion.shop/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
pedigo firenze	https://www.pedigofirenze.com/en/	tls-error	ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR
redpoint	https://www.redpoint-sportswear.com/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
natura siberica	http://www.naturasiberica.ru/	net-error	UNABLE_TO_VERIFY_LEAF_SIGNATURE
odel	http://www.odel.lk/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
novesta	https://www.novesta.sk/	net-error	redirect count exceeded
oblekt	https://oblekt.jp/	net-error	UND_ERR_CONNECT_TIMEOUT
marumitsu	http://www.e-marumitsu.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
paspaley	http://www.paspaleypearls.com/english/index.htm	http-dead	404
piping hot	https://www.pipinghot.com.au/	http-dead	404
rios1931	https://rios1931.com/	net-error	ECONNREFUSED
orcanta	https://www.orcanta.fr/	net-error	ECONNREFUSED
pearle studio	https://www.pearlestudio.nl/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
people’s republic of cashmere	https://www.peoplesrepublicofcashmere.com/	tls-error	CERT_HAS_EXPIRED
nestwell	https://nestwell.jp/	net-error	UND_ERR_CONNECT_TIMEOUT
neca 7	https://www.neca7.co.il/	server-error	526
niessing manufaktur	https://niessing.com/	net-error	UNABLE_TO_VERIFY_LEAF_SIGNATURE
nicky diamonds	https://www.westfield.com/fr/france/rennesalma/boutiques/NICKY%20DIAMONDS/66162	http-dead	404
maxtara	https://www.maxtara.cz/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
onygo	https://www.onygo.com/de	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
mikaine	https://en.mikaine.com/	tls-error	ERR_SSL_SSL/TLS_ALERT_HANDSHAKE_FAILURE
rose and myla	https://roseandmyla.com/	tls-error	CERT_HAS_EXPIRED
papaya & bamboo	https://www.papayaandbamboo.com/	tls-error	CERT_HAS_EXPIRED
pink moon	https://pinkmoon.co/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
milla amsterdam	https://www.millaamsterdam.com/	net-error	ECONNREFUSED
pavement shoes	https://www.pavement.dk/	net-error	ECONNRESET
melton	http://mpdenmark.espresso4.dk/brands/melton	net-error	UND_ERR_CONNECT_TIMEOUT
phi.denim	https://www.phi-denim.com/	http-dead	404
minkpink	https://www.minkpinkworld.com/	net-error	ECONNREFUSED
sallie sahne	https://www.sallie-sahne.de/en/official-website.html	http-dead	404
pallet life story	https://palletlifestory.com/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
och!	https://www.ochstore.pl/en/	server-error	500
nordiq moose	https://nordiqmoose.com/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
pikes peak apothecary	https://www.pikespeakapothecary.com/?srsltid=AfmBOopcNkEqDTZPnLbIv5XvZkxveEu5Gb_YYygodYZhpaZufSPegkCA	http-dead	402
miss fiorentina	https://missfiorentina.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
nexusvii.	https://www.nexusvii.jp/	dns-dead	no A/AAAA @1.1.1.1
noire line	https://noireline.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
mmlg	https://en.87mm.co.kr/	dns-dead	no A/AAAA @1.1.1.1
ovv	http://www.ovvworld.com/PC/index.html	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
plein sport	https://www.pleinsport.com/	net-error	redirect count exceeded
ponche	https://www.melikshoes.com/collectie/ponche	http-dead	404
pure chemistry	http://www.cosmeticospure.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
portspure	http://www.portspure.com/	tls-error	CERT_HAS_EXPIRED
pataugas	https://www.pataugas.com/	tls-error	ERR_SSL_TLSV1_UNRECOGNIZED_NAME
opening ceremony	https://www.openingceremony.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
schuhkay	https://www.schuhkay.de/	net-error	ECONNREFUSED
punto belle	https://www.puntobelle.co.uk/	tls-error	UNABLE_TO_GET_ISSUER_CERT_LOCALLY
monique péan	https://www.moniquepean.com/0	http-dead	404
noni	https://www.noni-mode.de/	tls-error	CERT_HAS_EXPIRED
prairie linens studio inc.	https://www.prairielinensstudio.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
mouawad	http://www.mouawad.com/	net-error	redirect count exceeded
paul & joe sister	https://www.paulandjoe.com/paul-and-joe-sister.html	http-dead	404
reer3	https://reer3.com/?oid=209&affid=1&source_id=GoY-rating&sub1=brandpage	http-dead	404
ray swimwear	https://rayswimwear.com/	tls-error	CERT_HAS_EXPIRED
my rina	https://www.myrinaworld.com/	http-dead	402
poilei	https://www.poilei.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
one kind clothing	https://wearonekind.com/	http-dead	402
munay brand	https://munaybrand.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
organic threads	https://www.organicthreads.net/	http-dead	404
myomy	https://www.myomy.nl/	tls-error	CERT_HAS_EXPIRED
poplooks	https://www.poplooks.com/	http-dead	404
nagie	https://nagi-e.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
pierre-louis mascia	http://pierrelouismascia.com/	http-dead	404
otthie	https://otthie.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
pressed pretty	https://pressedpretty.net/collections/rts-tshirts	tls-error	CERT_HAS_EXPIRED
o.c.t. mami	http://www.octmami.com/	net-error	UND_ERR_CONNECT_TIMEOUT
privé revaux	https://eu.priverevaux.com/	http-dead	404
nene glamour	https://www.neneglamour.com/	http-dead	423
nerium international	https://www.nerium.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
matri	https://www.matri.com.br/	dns-dead	no A/AAAA @1.1.1.1
pampora leather	https://www.pamporaleather.com/	http-dead	402
one spirit vibes	https://www.onespiritvibes.com/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
positive outlook clothing	https://www.positiveoutlookclothing.com/	http-dead	402
night addict	https://nightaddict.com/	tls-error	ERR_SSL_SSL/TLS_ALERT_HANDSHAKE_FAILURE
megan wilson jewelry	https://meganwilsonco.com/	http-dead	404
pours studios	https://www.pours-studios.com/	http-dead	404
noosa active	https://noosaactive.com.au/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
rosso35	https://www.rosso35.com/en/hompage/	http-dead	404
rage age	https://rageage.com/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
rubysparrowdesign	https://www.rubysparrowdesign.com/	tls-error	UNABLE_TO_GET_ISSUER_CERT_LOCALLY
poème clothing	https://www.poemeclothing.com/	http-dead	402
s4 jackets	https://s4-jackets.com/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
lululemon	https://www.lululemon.com/	http-dead	400
satori stylez	https://satoristylez.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
performance clothing	http://performance.clothingrange.co.uk/	http-dead	410
pierre lannier	http://www.pierre-lannier.fr/	tls-error	CERT_HAS_EXPIRED
refrigiwear	https://www.refrigiwear.it/	tls-error	CERT_HAS_EXPIRED
re.draft	https://www.redraft-clothing.com/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
mimaami organics	http://mimaamiorganics.com/	http-dead	402
piferi	https://www.piferi.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
one more story	https://www.one-more-story.com/	tls-error	ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR
royle eleven	https://royleeleven.com/	server-error	500
panamuna project	https://www.panamunaproject.com.au/	http-dead	402
rye tender	https://ryetender-homepage.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
ocean rodeo	http://www.dutchmint.eu/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
raymond group	http://www.raymond.in/	net-error	UND_ERR_CONNECT_TIMEOUT
sanmarine	https://sanmarine.us/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
progressive crawlers	https://www.progressivecrawlers.com/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
regalys	https://www.regalys.shop/	http-dead	404
reno-obuv	https://www.reno-obuv.cz/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
primavera	https://primavera-bags.com/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
one plane jane	https://oneplanejane.com/	net-error	UND_ERR_CONNECT_TIMEOUT
saniderm tattoo care	http://saniderm.com/	dns-dead	no A/AAAA @1.1.1.1
perlato	https://perlato.com/	net-error	UNABLE_TO_VERIFY_LEAF_SIGNATURE
old linen mill	https://oldlinenmill.com/	server-error	500
scallywings	https://scallywings.com/	http-dead	402
polis casfino	https://www.poliscasfino.com/	http-dead	423
princesse nomade	https://www.princessenomade.com/	net-error	ECONNRESET
omdl coastal	https://www.omdlcoastal.com/#/?utm_source=GoodOnYou%20App&utm_medium=Referral	tls-error	ERR_SSL_SSL/TLS_ALERT_HANDSHAKE_FAILURE
perlita peaches	https://www.perlitapeaches.com/	tls-error	ERR_TLS_CERT_ALTNAME_INVALID
prim stargazer	https://primstargazer.ca/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
re:sin	https://www.re-sin.com/	net-error	UND_ERR_SOCKET
mr & mrs italy	https://www.mmi.it/	dns-dead	NXDOMAIN @1.1.1.1+8.8.8.8
robinson department store	https://www.robinson.co.th/	server-error	502
parkhurst	https://parkhurst.ca/	http-dead	404
piticas	https://piticas.com.br/	net-error	ECONNREFUSED
sundance catalog	https://www.sundancecatalog.com/	net-error	UND_ERR_CONNECT_TIMEOUT
pray	https://www.prayforusclothing.com/	tls-error	ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR
ross & snow	https://ross-snow.com/	dns-dead	no A/AAAA @1.1.1.1
polyn baby	http://skinourishment.com/	tls-error	CERT_HAS_EXPIRED
siemes schuhcenter	https://www.siemes.de/	tls-error	ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR
qubz	https://www.qubzclothing.com/	http-dead	404
rvlt	https://www.rvlt.com/	dns-dead	no A/AAAA @1.1.1.1
shoewear	https://upshoewear.nl/	dns-dead	no A/AAAA @1.1.1.1
simple mama company	https://www.simplemamaco.com/	tls-error	ERR_SSL_SSL/TLS_ALERT_HANDSHAKE_FAILURE
saga cosmetics	https://www.sagacosmetics.com/	net-error	ENETUNREACH
raspberryplum	https://raspberryplum.com/	http-dead	402
simmer clothing	http://simmerclothing.squarespace.com/	http-dead	404
